server,,count,mean,median,var,std,min,max,download_throughput_bps,upload_throughput_bps,rtt_download_sec,rtt_upload_sec,packet_loss_percent
server01,download_throughput_bps,536,642228648.6070595,761755122.155469,7.223159799243469e+16,268759368.1947379,22531646.045171585,919339345.1061014,,,,,
server01,upload_throughput_bps,536,437093211.6419408,421465715.00341594,9.67644373188334e+16,311069827.0787982,13828997.446683206,912818631.2446008,,,,,
server01,rtt_download_sec,536,0.011294186567164174,0.011,5.207956383819213e-06,0.0022820947359431013,0.007,0.019146,,,,,
server01,rtt_upload_sec,536,0.012635705223880583,0.01113999999999995,1.6157981296122215e-05,0.004019699154927172,0.007796,0.037326,,,,,
server01,packet_loss_percent,536,2.257183308068652,1.0169397008800147,7.854041224451697,2.802506239859547,0.0,15.212664161951814,,,,,
server02,download_throughput_bps,573,636664241.3764683,761831544.4399005,7.703494185437568e+16,277551692.2203424,17437539.546458095,923904062.2774992,,,,,
server02,upload_throughput_bps,573,440226048.71173286,430722558.5963671,1.1011170121437437e+17,331830832.2238522,13898555.772481594,914554573.7345116,,,,,
server02,rtt_download_sec,573,0.0114215410122164,0.011,6.469190416584277e-06,0.002543460323375279,0.007,0.0243,,,,,
server02,rtt_upload_sec,573,0.013066263525305398,0.011247,1.8508916666446995e-05,0.004302199050072764,0.007905,0.028477,,,,,
server02,packet_loss_percent,573,1.9909903263106066,0.8055881879399772,8.143212299819231,2.8536314232604094,0.0,20.03712508518284,,,,,
server03,download_throughput_bps,544,638431670.568167,768343383.824962,7.765861501625434e+16,278672953.5068919,5693438.784201088,923160865.725664,,,,,
server03,upload_throughput_bps,544,448242233.5997781,451789454.1627786,1.0640024716242278e+17,326190507.4682934,9737624.755883085,916233412.8997612,,,,,
server03,rtt_download_sec,544,0.011467220588235289,0.011,6.100691730256724e-06,0.0024699578397731252,0.007,0.0209059999999999,,,,,
server03,rtt_upload_sec,544,0.012940387867647047,0.0112025,1.859734758961313e-05,0.004312464213139992,0.007682,0.032565,,,,,
server03,packet_loss_percent,544,2.1300307222806887,0.8350132890160995,8.557465785890196,2.925314647331154,0.0,18.28218978148659,,,,,
server04,download_throughput_bps,578,196923197.8013556,168508258.15460062,3.1442296279787068e+16,177319757.16142595,16423565.259566853,798858886.717504,,,,,
server04,upload_throughput_bps,578,157294521.66608733,181921622.8805461,8218843307068482.0,90657836.43496287,1016473.7634754768,421872356.9531717,,,,,
server04,rtt_download_sec,578,0.1278096955017301,0.11838699999999999,0.00443883225640972,0.06662456196035904,0.008,0.291796,,,,,
server04,rtt_upload_sec,578,0.12913985813148787,0.11884149999999999,0.004603949130780532,0.06785240696379556,0.0088019999999999,0.355195,,,,,
server04,packet_loss_percent,578,1.944133791603148,0.0,15.793147970982652,3.974059381914499,0.0,20.476931537186744,,,,,
server05,download_throughput_bps,545,201203719.54233354,168824051.1923665,3.350480434998621e+16,183043176.19071794,2467156.634339911,780236667.9104778,,,,,
server05,upload_throughput_bps,545,158269476.90808913,181156345.8996931,8750847773749346.0,93545966.10089259,2501484.796360322,422014494.453606,,,,,
server05,rtt_download_sec,545,0.12307900366972477,0.118946,0.004574045757816163,0.06763169196328125,0.008,0.347753,,,,,
server05,rtt_upload_sec,545,0.12403108073394493,0.118818,0.004738276515291264,0.06883514011964575,0.009156,0.3602269999999999,,,,,
server05,packet_loss_percent,545,2.7470879075993664,0.0,26.866776920477573,5.1833171734399555,0.0,22.389090203327207,,,,,
server06,download_throughput_bps,560,205604822.87928897,169596326.40939152,3.640356203652759e+16,190797175.1272214,3993820.181917115,796472939.940555,,,,,
server06,upload_throughput_bps,560,157714552.672235,181393487.60221803,9794672427101998.0,98968037.40148634,333694.17229544383,423838920.2632143,,,,,
server06,rtt_download_sec,560,0.1294565964285714,0.1188465,0.005046934189962062,0.07104177777872724,0.009,0.398051,,,,,
server06,rtt_upload_sec,560,0.13085060178571428,0.11900749999999999,0.005239673373503038,0.0723855881616157,0.0090899999999999,0.342112,,,,,
server06,packet_loss_percent,560,1.9520900347229468,0.0,17.984668290071248,4.2408334428589916,0.0,20.715629096268056,,,,,
server07,download_throughput_bps,3744,585532114.1347383,709307834.8428736,1.0785805806133627e+17,328417505.7169399,953015.5194262756,933267053.9356384,,,,,
server07,upload_throughput_bps,3744,449030120.3037764,513207124.32042855,9.300011035210355e+16,304959194.5688858,1425268.5998550523,921449985.8300368,,,,,
server07,rtt_download_sec,3744,0.029630383279914525,0.009,0.0028813790222765143,0.053678478203806355,0.002,0.353149,,,,,
server07,rtt_upload_sec,3744,0.007644834668803407,0.00544699999999995,2.6222181377146667e-05,0.0051207598437289234,0.002,0.08006,,,,,
server07,packet_loss_percent,3744,1.6667476713615001,0.08929810018490561,9.698873149133401,3.114301390221152,0.0,21.857183670677625,,,,,
